통계표,계정항목,단위,변환,2024/04/22,2024/04/23,2024/04/24,2024/04/25,2024/04/26,2024/04/29,2024/04/30,2024/05/02,2024/05/03
"1.5.1.1. 주식시장(일)","KOSPI지수","1980.01.04=100 ","원자료","2,629.44","2,623.02","2,675.75","2,628.62","2,656.33","2,687.44","2,692.06","2,683.65","2,676.63"
"1.5.1.1. 주식시장(일)","  거래량(주식시장, 잠정치)","만주","원자료","38,920","41,685","31,948","30,470","44,324","46,188","45,037","34,268","32,985"
"1.5.1.1. 주식시장(일)","  거래대금(주식시장 , 잠정치)","억원 ","원자료","108,585","94,306","100,638","87,271","99,346","102,309","111,019","89,027","77,173"
"1.5.1.1. 주식시장(일)","  외국인 순매수(주식시장, 잠정치)","억원 ","원자료","-7,504","-253","4,924","-2,892","4,731","3,452","2,384","27","934"
"1.5.1.1. 주식시장(일)","  주식시장-거래량(만주, 시간외거래분 포함)","만주","원자료","40,189","43,028","32,574","33,406","45,052","47,055","46,008","35,109",""
"1.5.1.1. 주식시장(일)","  주식시장-거래대금(억원, 시간외거래분 포함)","억원 ","원자료","110,211","99,483","102,277","89,880","101,489","104,914","113,471","90,591",""
"1.5.1.1. 주식시장(일)","  시가총액(주식시장, 잠정치)","억원 ","원자료","21,431,570","21,376,410","21,806,290","21,424,400","21,644,770","21,896,910","21,938,430","21,868,760","21,832,790"
"1.5.1.1. 주식시장(일)","KOSDAQ지수","1996.07.01=1000","원자료","845.82","845.44","862.23","853.26","856.82","869.72","868.93","867.48","865.59"
"1.5.1.1. 주식시장(일)","  거래량(만주 : 코스닥시장, 잠정치)","만주","원자료","89,876","88,659","95,792","81,157","70,466","77,259","79,264","85,445","82,609"
"1.5.1.1. 주식시장(일)","  거래대금(억원 : 코스닥시장, 잠정치)","억원 ","원자료","80,140","73,933","79,305","80,184","80,895","75,753","80,362","79,195","84,921"
"1.5.1.1. 주식시장(일)","  외국인 순매수(코스닥시장, 잠정치)","억원 ","원자료","-752","-466","1,835","-2,458","-753","1,404","-551","-673","-362"
