,기준금리,금,달러,엔,유로,실업률,소비자물가지수,kospi,거래대금(억),외국인 순매수(억),시가총액(억)
2018-12-03,1.75,1247.92,1120.3,984.4,1269.36,3.4,98.988,2131.93,54313.0,3250.0,14275280.0
2018-12-04,1.75,1247.92,1113.7,980.33,1264.72,3.4,98.988,2114.35,54288.0,1230.0,14146370.0
2018-12-05,1.75,1247.92,1109.8,984.65,1258.79,3.4,98.988,2101.31,46603.0,-1973.0,14055050.0
2018-12-06,1.75,1247.92,1113.6,984.4,1263.77,3.4,98.988,2068.69,56065.0,-3841.0,13835050.0
2018-12-07,1.75,1247.92,1117.8,991.97,1271.78,3.4,98.988,2075.76,42210.0,284.0,13890340.0
2018-12-10,1.75,1247.92,1118.2,993.78,1274.92,3.4,98.988,2053.79,45266.0,-2720.0,13739370.0
2018-12-11,1.75,1247.92,1124.7,993.16,1277.04,3.4,98.988,2052.97,49117.0,-1750.0,13733420.0
2018-12-12,1.75,1247.92,1129.4,995.99,1278.71,3.4,98.988,2082.57,52975.0,-413.0,13715590.0
2018-12-13,1.75,1247.92,1127.6,995.98,1282.53,3.4,98.988,2095.55,75628.0,4831.0,13797590.0
2018-12-14,1.75,1247.92,1124.0,989.44,1276.7,3.4,98.988,2069.38,57842.0,-922.0,13622310.0
2018-12-17,1.75,1247.92,1129.2,996.34,1276.79,3.4,98.988,2071.09,47645.0,660.0,13633310.0
2018-12-18,1.75,1247.92,1131.6,1003.15,1284.25,3.4,98.988,2062.11,52416.0,-1705.0,13581100.0
2018-12-19,1.75,1247.92,1129.9,1004.94,1285.09,3.4,98.988,2078.84,51249.0,108.0,13689280.0
2018-12-20,1.75,1247.92,1125.1,1001.11,1281.1,3.4,98.988,2060.12,54831.0,-415.0,13561690.0
2018-12-21,1.75,1247.92,1128.9,1015.02,1293.1,3.4,98.988,2061.49,54925.0,-2225.0,13573520.0
2018-12-24,1.75,1247.92,1123.9,1011.84,1277.87,3.4,98.988,2055.01,37915.0,64.0,13529000.0
2018-12-26,1.75,1247.92,1125.2,1021.42,1284.25,3.4,98.988,2028.01,53369.0,610.0,13367570.0
2018-12-27,1.75,1247.92,1125.6,1012.23,1278.29,3.4,98.988,2028.44,52818.0,2394.0,13355550.0
2018-12-28,1.75,1247.92,1121.3,1010.95,1281.81,3.4,98.988,2041.04,40589.0,2026.0,13439720.0
2019-01-02,1.75,1291.75,1118.1,1019.47,1281.96,4.5,98.884,2010.0,42352.0,-276.0,13236450.0
2019-01-03,1.75,1291.75,1119.0,1044.87,1270.51,4.5,98.884,1993.7,53585.0,1016.0,13127590.0
2019-01-04,1.75,1291.75,1127.5,1046.36,1284.62,4.5,98.884,2010.25,54901.0,-1261.0,13237190.0
2019-01-07,1.75,1291.75,1125.2,1038.34,1283.85,4.5,98.884,2037.1,51299.0,560.0,13423810.0
2019-01-08,1.75,1291.75,1118.0,1028.85,1283.3,4.5,98.884,2025.27,47224.0,-255.0,13339960.0
2019-01-09,1.75,1291.75,1121.7,1031.31,1284.18,4.5,98.884,2064.71,54218.0,3849.0,13608520.0
2019-01-10,1.75,1291.75,1121.6,1036.89,1295.34,4.5,98.884,2063.28,54343.0,2729.0,13598570.0
2019-01-11,1.75,1291.75,1118.9,1031.96,1286.9,4.5,98.884,2075.57,44797.0,1776.0,13683110.0
2019-01-14,1.75,1291.75,1117.6,1030.28,1281.61,4.5,98.884,2064.52,48752.0,948.0,13605650.0
2019-01-15,1.75,1291.75,1121.4,1036.75,1286.41,4.5,98.884,2097.18,51543.0,1230.0,13824500.0
2019-01-16,1.75,1291.75,1120.1,1030.97,1277.92,4.5,98.884,2106.1,52734.0,1009.0,13886950.0
2019-01-17,1.75,1291.75,1122.0,1028.65,1278.74,4.5,98.884,2107.06,58578.0,2353.0,13899760.0
2019-01-18,1.75,1291.75,1121.4,1027.35,1277.16,4.5,98.884,2124.28,51718.0,1141.0,14012340.0
2019-01-21,1.75,1291.75,1121.3,1021.87,1274.53,4.5,98.884,2124.61,52127.0,661.0,14017800.0
2019-01-22,1.75,1291.75,1126.5,1027.36,1280.72,4.5,98.884,2117.77,48365.0,1349.0,13973180.0
2019-01-23,1.75,1291.75,1130.2,1033.66,1284.3,4.5,98.884,2127.78,50010.0,-977.0,14039370.0
2019-01-24,1.75,1291.75,1128.2,1029.71,1284.4,4.5,98.884,2145.03,59429.0,4954.0,14157380.0
2019-01-25,1.75,1291.75,1128.0,1029.81,1274.92,4.5,98.884,2177.73,69268.0,8214.0,14378430.0
2019-01-28,1.75,1291.75,1125.1,1026.97,1283.91,4.5,98.884,2177.3,59900.0,3577.0,14374910.0
2019-01-29,1.75,1291.75,1116.9,1022.19,1276.56,4.5,98.884,2183.36,62741.0,1940.0,14413450.0
2019-01-30,1.75,1291.75,1118.1,1021.8,1278.49,4.5,98.884,2206.2,67761.0,3138.0,14560600.0
